_id,TrainingName,Coe_Name,UserType,Date,WorkSessions
6613824114564315c8402096,'ML Basics',Niki Argrave,Employee,2024-04-07T22:03:03Z,66137d41e10537e7e7de053d
6613824114564315c8402086,'React JS',Audrye Tiery,Intern,2024-05-07T19:54:21Z,66137d3ce10537e85f4fe2ca
6613824114564315c8402092,'SQL',Fairleigh Lissemore,Intern,2024-05-09T06:50:19Z,66137d41e10537e8a3bcefab
6613824114564315c8402086,'UI / UX Concept Figma',Salvidor Stanger,Employee,2024-05-11T15:06:26Z,66137d41e10537e8a3bcefbd
6613824114564315c8402092,'Quality Assurance Basics',Deane Brownlee,Intern,2024-04-04T11:44:25Z,66137d41e10537e71b41a8b6
6613824114564315c8402091,ADF',Teodoro Bruckental,Intern,2024-04-21T02:31:33Z,66137d41e10537e8b1b75e39
6613824114564315c8402087,'DevOps Operations',Ty Edgecumbe,Employee,2024-04-28T13:36:29Z,66137d41e10537e71b41a8b1
6613824114564315c8402087,'Security Testing',Hyacintha Vitte,Intern,2024-05-19T21:09:09Z,66137d41e10537e7b003c573
6613824114564315c8402088,'React JS',Agace Da Costa,Employee,2024-04-03T12:29:22Z,66137d41e10537e6d7ef106c
6613824114564315c840208c,'Data Warehouse - ETL,Thaxter Arnison,Intern,2024-05-15T20:52:18Z,66137d41e10537e8c57ab217
6613824114564315c840208b,'Data Warehouse - ETL,Teddie McAdam,Employee,2024-05-03T04:49:55Z,66137d41e10537e7c52101fc
6613824114564315c8402099,'Cloud Platforms',Lonee Braid,Intern,2024-05-08T08:51:50Z,66137d41e10537e72c30ffb9
6613824114564315c8402098,'Data Warehouse - ETL,Kizzee Pippard,Employee,2024-04-20T17:25:11Z,66137d41e10537e77036603a
6613824114564315c8402097,'Data Warehouse - ETL,Natty Edgeson,Intern,2024-04-08T08:08:32Z,66137d41e10537e7c52101e7
6613824114564315c840208f,'Git & Version Control',Randy Blundell,Intern,2024-04-20T19:36:08Z,66137d41e10537e80985c22b
6613824114564315c8402097,'Python for DS',Kitty McCorkell,Intern,2024-04-29T09:45:35Z,66137d41e10537e8928bbda7
6613824114564315c840208e,'Data Warehouse - ETL,Reggie Poulett,Intern,2024-05-18T02:05:34Z,66137d41e10537e7a67f3cdc
6613824114564315c840209a,'Javascript',Danyette Elcott,Employee,2024-04-04T08:07:28Z,66137d41e10537e7714b1e8b
6613824114564315c8402086,'Power BI',Florida McCloid,Intern,2024-05-29T00:38:54Z,66137d41e10537e73df51f44
6613824114564315c8402091,'Python & Web Scraping',Daniella Giovanazzi,Employee,2024-05-15T21:33:55Z,66137d41e10537e7b003c585
6613824114564315c8402090,'Security Testing',Arnoldo Bernardelli,Intern,2024-05-24T19:12:55Z,66137d41e10537e752949dee
6613824114564315c840208a,'UI / UX Concept Figma',Kassey Fullstone,Intern,2024-05-08T18:16:08Z,66137d41e10537e83e6ca32f
6613824114564315c8402085,'Javascript',Carry Beauvais,Intern,2024-04-06T16:00:08Z,66137d41e10537e6f9e78492
6613824114564315c8402086,'SQL',Penny Dannehl,Employee,2024-05-13T19:19:40Z,66137d41e10537e6d7ef1052
6613824114564315c8402095,'React JS',Adiana Flatt,Intern,2024-04-09T08:46:45Z,66137d41e10537e8a3bcefa7
6613824114564315c840208b,'DBT',Kevina Spring,Intern,2024-04-06T08:39:31Z,66137d41e10537e8d6b75c28
6613824114564315c840208c,'Quality Assurance Basics',Gage Benzi,Intern,2024-05-19T05:06:35Z,66137d3ce10537e85f4fe2cd
6613824114564315c8402099,'SQL',Rosabel Passe,Intern,2024-04-21T09:18:06Z,66137d41e10537e80985c23b
6613824114564315c8402093,ADF',Stefania Osgar,Employee,2024-05-09T19:23:18Z,66137d41e10537e8928bbda4
6613824114564315c8402094,'Git & Version Control',Gillan Crease,Intern,2024-05-31T17:33:30Z,66137d41e10537e7a67f3cef
