email,Ass_id,Marks_Obtained,Total_Marks
awrout3g@chicagotribune.com,66138e38e10537e875099a70,54,100
btwinamehl@dropbox.com,66138e38e10537e83cb672b2,50,100
dgeorgiadesin@loc.gov,66138e39e10537e752949e1c,51,100
ndonovan3@parallels.com,66138e38e10537e80985c250,32,100
mspearmana5@businessweek.com,66138e38e10537e7b003c5a3,68,100
ggamwellri@sbwire.com,66138e38e10537e770366063,34,100
gbleimanma@npr.org,66138e38e10537e740772b8f,90,100
lmckaileqi@feedburner.com,66138e38e10537e8a3bcefcc,77,100
lyeandelp9@oaic.gov.au,66138e38e10537e7a67f3cf8,54,100
rdicksonad@europa.eu,66138e38e10537e7916ba017,91,100
sellam6m@nps.gov,66138e38e10537e71b41a8bd,22,100
rquibell5o@biblegateway.com,66138e38e10537e7b003c59f,9,100
sreinbachoo@studiopress.com,66138e38e10537e7b003c5a1,64,100
dmapstoneq9@123-reg.co.uk,66138e38e10537e7916ba028,65,100
dpatise19@illinois.edu,66138e38e10537e6c405f699,27,100
gmaudlendl@nba.com,66138e38e10537e7c5210211,35,100
byedallx@google.com.br,66138e38e10537e7b003c592,77,100
plarganjg@blogger.com,66138e38e10537e6d7ef1086,21,100
mhamberstoneqy@nytimes.com,66138e38e10537e6d7ef107a,76,100
lcroosehg@sourceforge.net,66138e38e10537e70a816ac9,83,100
esappyjh@google.it,66138e38e10537e83e6ca345,17,100
mdickinsp7@sakura.ne.jp,66138e38e10537e71b41a8bf,0,100
mmccalister24@imageshack.us,66138e38e10537e6c405f695,84,100
ckittel9y@eepurl.com,66138e38e10537e6d7ef107b,6,100
ebeynkefg@myspace.com,66138e38e10537e70a816aca,33,100
bwibrowb9@rakuten.co.jp,66138e38e10537e7b003c58b,46,100
ntytherton8z@flavors.me,66138e38e10537e8b1b75e50,53,100
cfulloc@example.com,66138e38e10537e6d7ef1076,23,100
sshakespear76@soundcloud.com,66138e38e10537e7714b1e9b,20,100
fcodahk@biglobe.ne.jp,66138e38e10537e71b41a8bf,22,100
tholsonf6@chicagotribune.com,66138e38e10537e6f9e784bd,81,100
vsimonkg@blogs.com,66138e38e10537e7b003c593,100,100
ggreenhalfk1@ocn.ne.jp,66138e38e10537e7b003c58b,43,100
eworsnipe4@webs.com,66138e38e10537e7c521021c,95,100
aberng@symantec.com,66138e38e10537e83e6ca354,42,100
dpocklingtonrg@toplist.cz,66138e38e10537e8b1b75e59,66,100
mnesfieldoi@ted.com,66138e38e10537e875099a6a,98,100
ibalamp4@marriott.com,66138e38e10537e72c30ffcd,9,100
jde3r@cocolog-nifty.com,66138e38e10537e82b6ef5e3,55,100
fmewrcikco@hexun.com,66138e38e10537e770366071,26,100
dluckey8v@nps.gov,66138e38e10537e8928bbdcf,73,100
ifiddymont71@paypal.com,66138e38e10537e70a816ad1,43,100
