_id,workType,module_id,trainer_name,date,start_time,end_time,testName
66138e38e10537e70a816ac1,Training,6613824114564315c8402086,Pooja Nareshsinh Thakur,2024-04-02T00:36:42Z,2024-04-14T08:48:33Z,2024-04-26T10:00:44Z,Triple-buffered modular
66138e38e10537e70a816ac2,Training,6613824114564315c8402086,Felix Raj C,2024-05-15T14:15:35Z,2024-04-27T01:56:11Z,2024-05-20T23:15:39Z,Managed maximized
66138e38e10537e70a816ac3,Training,6613824114564315c8402088,Sourav Kumar,2024-04-16T19:28:12Z,2024-05-05T06:06:01Z,2024-04-07T09:57:10Z,Visionary executive
66138e38e10537e70a816ac4,Assessment,6613824114564315c8402088,Sivamalini V,2024-05-15T06:24:54Z,2024-05-03T20:57:42Z,2024-05-11T12:06:19Z,Synchronised solution-oriented
66138e38e10537e70a816ac5,Training,6613824114564315c8402098,Arun Prasanth S,2024-04-10T22:22:28Z,2024-04-18T07:57:21Z,2024-04-02T06:31:16Z,Sharable secondary
66138e38e10537e70a816ac6,Assessment,6613824114564315c8402098,Sathish Kumar V,2024-04-12T08:05:27Z,2024-05-08T11:19:47Z,2024-04-27T04:22:38Z,Automated asynchronous
66138e38e10537e70a816ac7,Assessment,6613824114564315c8402098,Pooja Nareshsinh Thakur,2024-04-25T06:40:01Z,2024-05-28T17:42:09Z,2024-04-07T06:00:07Z,Pre-emptive transitional
66138e38e10537e70a816ac8,Training,6613824114564315c8402089,Ruthraraj R,2024-04-30T02:13:39Z,2024-04-22T05:09:04Z,2024-04-21T08:42:49Z,Function-based uniform
66138e38e10537e70a816ac9,Assessment,6613824114564315c8402092,Sriram Krishnamoorthy,2024-04-11T15:02:21Z,2024-04-24T08:33:45Z,2024-04-06T17:08:31Z,Re-contextualized clear-thinking
66138e38e10537e70a816aca,Assessment,6613824114564315c840208c,Keerthika Kannan,2024-04-10T21:52:23Z,2024-05-03T18:10:49Z,2024-05-05T02:29:41Z,Open-source human-resource
66138e38e10537e70a816acb,Assessment,6613824114564315c8402088,Harish P,2024-04-30T01:15:40Z,2024-05-03T10:52:14Z,2024-05-29T07:13:15Z,Synergized grid-enabled
66138e38e10537e70a816acc,Assessment,6613824114564315c8402088,Siddharth Sridhar,2024-05-24T09:26:18Z,2024-04-26T15:41:30Z,2024-04-11T21:06:09Z,Fully-configurable tangible
66138e38e10537e70a816acd,Training,6613824114564315c8402085,Ankit Kumar Mishra,2024-05-31T17:27:07Z,2024-05-21T17:22:38Z,2024-04-14T23:00:25Z,Grass-roots bandwidth-monitored
66138e38e10537e70a816ace,Assessment,6613824114564315c840208e,Naga Sandeep Reddy P,2024-04-23T14:09:34Z,2024-05-02T20:21:56Z,2024-05-15T04:31:03Z,Horizontal hybrid
66138e38e10537e70a816acf,Training,6613824114564315c840208d,Ruthraraj R,2024-05-29T02:23:45Z,2024-05-31T15:10:11Z,2024-05-19T11:23:06Z,Profound content-based
66138e38e10537e70a816ad0,Training,6613824114564315c840209a,Shirpi A,2024-06-01T16:30:51Z,2024-05-07T18:43:50Z,2024-05-15T04:18:39Z,Total 3rd
66138e38e10537e70a816ad1,Assessment,6613824114564315c8402086,Harish P,2024-05-17T03:24:22Z,2024-05-08T01:31:31Z,2024-05-16T08:49:56Z,Universal 5th
66138e38e10537e70a816ad2,Training,6613824114564315c8402092,Felix Raj C,2024-05-15T10:24:35Z,2024-04-12T22:20:18Z,2024-04-28T19:20:24Z,Implemented uniform
66138e38e10537e70a816ad3,Assessment,6613824114564315c8402085,Michael Leovalan,2024-04-25T23:52:33Z,2024-05-20T10:33:33Z,2024-05-08T18:55:01Z,Visionary object-oriented
66138e38e10537e70a816ad4,Training,6613824114564315c840208c,Harish P,2024-05-09T09:27:51Z,2024-05-26T01:39:07Z,2024-05-21T01:44:15Z,Customer-focused executive
66138e38e10537e70a816ad5,Assessment,6613824114564315c840208a,Molly Buxton,2024-04-25T19:06:56Z,2024-05-06T00:30:44Z,2024-04-13T14:06:15Z,Operative contextually-based
66138e38e10537e70a816ad6,Training,6613824114564315c840209a,Lavanya R,2024-04-12T08:26:19Z,2024-04-07T16:31:35Z,2024-05-12T12:19:53Z,Universal national
66138e38e10537e70a816ad7,Training,6613824114564315c8402095,Anto Arokia Mary N L,2024-05-12T05:04:03Z,2024-04-14T16:15:47Z,2024-05-25T05:47:24Z,Persistent full-range
66138e38e10537e70a816ad8,Training,6613824114564315c8402089,Rajasundar Murugan Nadar C,2024-04-26T08:39:36Z,2024-04-05T12:25:24Z,2024-04-17T14:01:10Z,Multi-layered fresh-thinking
66138e38e10537e70a816ad9,Training,6613824114564315c8402089,Gopinath Ramesh,2024-05-14T01:12:48Z,2024-05-18T02:30:49Z,2024-04-04T05:04:53Z,Versatile intermediate
66138e38e10537e70a816ada,Training,6613824114564315c8402090,Sivamalini V,2024-05-01T10:55:16Z,2024-04-04T17:51:00Z,2024-05-26T04:14:43Z,Quality-focused eco-centric
66138e38e10537e70a816adb,Assessment,6613824114564315c8402096,Kanike Lakshmi Narayana,2024-04-26T21:41:41Z,2024-04-24T15:13:54Z,2024-05-27T01:30:49Z,Assimilated fresh-thinking
66138e38e10537e70a816adc,Training,6613824114564315c840208a,Rekha Anandan,2024-05-23T12:38:20Z,2024-05-05T08:43:29Z,2024-04-18T22:12:30Z,Object-based foreground
66138e38e10537e70a816add,Training,6613824114564315c8402085,Lavanya R,2024-04-08T12:14:15Z,2024-04-21T10:31:58Z,2024-05-17T00:50:50Z,Enhanced solution-oriented
66138e38e10537e70a816ade,Training,6613824114564315c840208e,Livin Albert B,2024-04-14T09:13:24Z,2024-04-07T05:52:45Z,2024-05-08T09:52:48Z,Multi-channelled heuristic
66138e38e10537e70a816adf,Training,6613824114564315c840208c,Vignesh Anantharaj,2024-05-10T13:05:46Z,2024-05-14T00:09:59Z,2024-04-30T22:21:24Z,User-friendly zero
